key	value
the night	7
the next morning	5
one night	4
night	4
morning	2
that night	2
just a few hours	1
the evening	1
the coming 48 hours	1
48 hours	1
over a fateful night	1
the morning	1
the previous night	1
that morning	1
one morning	1
tomorrow morning	1
just minutes	1
evening	1
many hours	1
a minute	1
later that night	1
a night	1
a lesson minutes	1
tonight	1
the middle of night	1
