key	value
a few minutes	2
some minutes	1
the six hours	1
about ten minutes	1
five minutes	1
every six hours	1
early in the morning	1
all hours	1
the fifteen minutes	1
all night	1
late in the afternoon	1
less than a minute	1
more than two minutes	1
perhaps an hour	1
some seconds	1
an hour	1
the hour	1
