Cursor clicked at (609, 127)
Cursor moved to (608, 127), brush_size = 6, color = white
Cursor moved to (607, 127), brush_size = 6, color = white
Cursor moved to (602, 127), brush_size = 6, color = white
Cursor moved to (591, 127), brush_size = 6, color = white
Cursor moved to (577, 127), brush_size = 6, color = white
Cursor moved to (565, 127), brush_size = 6, color = white
Cursor moved to (551, 127), brush_size = 6, color = white
Cursor moved to (540, 128), brush_size = 6, color = white
Cursor moved to (535, 129), brush_size = 6, color = white
Cursor moved to (530, 131), brush_size = 6, color = white
Cursor moved to (529, 132), brush_size = 6, color = white
Cursor moved to (529, 134), brush_size = 6, color = white
Cursor moved to (529, 135), brush_size = 6, color = white
Cursor moved to (529, 137), brush_size = 6, color = white
Cursor moved to (531, 139), brush_size = 6, color = white
Cursor moved to (533, 142), brush_size = 6, color = white
Cursor moved to (536, 145), brush_size = 6, color = white
Cursor moved to (540, 150), brush_size = 6, color = white
Cursor moved to (546, 160), brush_size = 6, color = white
Cursor moved to (548, 166), brush_size = 6, color = white
Cursor moved to (551, 170), brush_size = 6, color = white
Cursor moved to (553, 177), brush_size = 6, color = white
Cursor moved to (554, 181), brush_size = 6, color = white
Cursor moved to (554, 186), brush_size = 6, color = white
Cursor moved to (554, 193), brush_size = 6, color = white
Cursor moved to (551, 197), brush_size = 6, color = white
Cursor moved to (545, 203), brush_size = 6, color = white
Cursor moved to (537, 209), brush_size = 6, color = white
Cursor moved to (532, 212), brush_size = 6, color = white
Cursor moved to (517, 221), brush_size = 6, color = white
Cursor moved to (509, 225), brush_size = 6, color = white
Cursor moved to (504, 229), brush_size = 6, color = white
Cursor moved to (500, 232), brush_size = 6, color = white
Cursor moved to (498, 234), brush_size = 6, color = white
Cursor moved to (496, 237), brush_size = 6, color = white
Cursor moved to (495, 239), brush_size = 6, color = white
Cursor moved to (494, 243), brush_size = 6, color = white
Cursor moved to (494, 246), brush_size = 6, color = white
Cursor moved to (494, 251), brush_size = 6, color = white
Cursor moved to (494, 255), brush_size = 6, color = white
Cursor moved to (495, 258), brush_size = 6, color = white
Cursor moved to (497, 262), brush_size = 6, color = white
Cursor moved to (498, 268), brush_size = 6, color = white
Cursor moved to (499, 272), brush_size = 6, color = white
Cursor moved to (498, 278), brush_size = 6, color = white
Cursor moved to (492, 285), brush_size = 6, color = white
Cursor moved to (480, 293), brush_size = 6, color = white
Cursor moved to (464, 302), brush_size = 6, color = white
Cursor moved to (452, 307), brush_size = 6, color = white
Cursor moved to (437, 310), brush_size = 6, color = white
Cursor moved to (419, 311), brush_size = 6, color = white
Cursor moved to (410, 311), brush_size = 6, color = white
Cursor moved to (403, 310), brush_size = 6, color = white
Cursor moved to (395, 308), brush_size = 6, color = white
Cursor moved to (389, 308), brush_size = 6, color = white
Cursor moved to (384, 309), brush_size = 6, color = white
Cursor moved to (380, 312), brush_size = 6, color = white
Cursor moved to (376, 318), brush_size = 6, color = white
Cursor moved to (374, 322), brush_size = 6, color = white
Cursor moved to (374, 326), brush_size = 6, color = white
Cursor moved to (374, 328), brush_size = 6, color = white
Cursor moved to (374, 330), brush_size = 6, color = white
Cursor moved to (374, 331), brush_size = 6, color = white
Cursor moved to (377, 332), brush_size = 6, color = white
Cursor moved to (380, 333), brush_size = 6, color = white
Cursor moved to (382, 333), brush_size = 6, color = white
Cursor moved to (385, 334), brush_size = 6, color = white
Cursor moved to (388, 335), brush_size = 6, color = white
Cursor moved to (395, 336), brush_size = 6, color = white
Cursor moved to (405, 336), brush_size = 6, color = white
Cursor moved to (427, 336), brush_size = 6, color = white
Cursor moved to (457, 331), brush_size = 6, color = white
Cursor moved to (482, 325), brush_size = 6, color = white
Cursor moved to (512, 318), brush_size = 6, color = white
Cursor moved to (541, 312), brush_size = 6, color = white
Cursor moved to (560, 307), brush_size = 6, color = white
Cursor moved to (576, 306), brush_size = 6, color = white
Cursor moved to (597, 305), brush_size = 6, color = white
Cursor moved to (617, 305), brush_size = 6, color = white
Cursor moved to (647, 305), brush_size = 6, color = white
Cursor moved to (666, 307), brush_size = 6, color = white
Cursor moved to (677, 308), brush_size = 6, color = white
Cursor moved to (687, 309), brush_size = 6, color = white
Cursor moved to (694, 309), brush_size = 6, color = white
Cursor moved to (702, 309), brush_size = 6, color = white
Cursor moved to (710, 309), brush_size = 6, color = white
Cursor moved to (719, 309), brush_size = 6, color = white
Cursor moved to (726, 309), brush_size = 6, color = white
Cursor moved to (736, 310), brush_size = 6, color = white
Cursor moved to (740, 311), brush_size = 6, color = white
Cursor moved to (742, 312), brush_size = 6, color = white
